Scanning B:\Local AI ...
[1000 sentences | 1 files | 10s] avg_loss=1.5726 stats={'training_steps': 94000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5006, 'last_loss': np.float64(1.5074), 'approx_perplexity': 4.48}
[2000 sentences | 1 files | 20s] avg_loss=1.4847 stats={'training_steps': 96000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.4432, 'last_loss': np.float64(1.1744), 'approx_perplexity': 4.23}
[3000 sentences | 1 files | 28s] avg_loss=1.5499 stats={'training_steps': 98000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5615, 'last_loss': np.float64(1.7373), 'approx_perplexity': 4.77}
[4000 sentences | 1 files | 36s] avg_loss=1.5331 stats={'training_steps': 100000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5051, 'last_loss': np.float64(1.6997), 'approx_perplexity': 4.5}
[5000 sentences | 1 files | 46s] avg_loss=1.4987 stats={'training_steps': 102000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.4408, 'last_loss': np.float64(1.5285), 'approx_perplexity': 4.22}
[6000 sentences | 1 files | 56s] avg_loss=1.4936 stats={'training_steps': 104000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.4957, 'last_loss': np.float64(1.8792), 'approx_perplexity': 4.46}
[7000 sentences | 1 files | 67s] avg_loss=1.5357 stats={'training_steps': 106000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.6344, 'last_loss': np.float64(1.5116), 'approx_perplexity': 5.13}
[8000 sentences | 1 files | 78s] avg_loss=1.6167 stats={'training_steps': 108000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5481, 'last_loss': np.float64(1.3119), 'approx_perplexity': 4.7}
[9000 sentences | 1 files | 90s] avg_loss=1.5758 stats={'training_steps': 110000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5449, 'last_loss': np.float64(1.293), 'approx_perplexity': 4.69}
[10000 sentences | 1 files | 102s] avg_loss=1.5762 stats={'training_steps': 112000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5959, 'last_loss': np.float64(2.2002), 'approx_perplexity': 4.93}
[11000 sentences | 1 files | 113s] avg_loss=1.5316 stats={'training_steps': 114000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5085, 'last_loss': np.float64(1.5928), 'approx_perplexity': 4.52}
[12000 sentences | 1 files | 125s] avg_loss=1.4649 stats={'training_steps': 116000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5681, 'last_loss': np.float64(1.7731), 'approx_perplexity': 4.8}
[13000 sentences | 1 files | 137s] avg_loss=1.5161 stats={'training_steps': 118000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5009, 'last_loss': np.float64(1.314), 'approx_perplexity': 4.49}
[14000 sentences | 1 files | 149s] avg_loss=1.4831 stats={'training_steps': 120000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5255, 'last_loss': np.float64(1.4391), 'approx_perplexity': 4.6}
[15000 sentences | 1 files | 161s] avg_loss=1.5230 stats={'training_steps': 122000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5184, 'last_loss': np.float64(1.8139), 'approx_perplexity': 4.56}
[16000 sentences | 1 files | 172s] avg_loss=1.4652 stats={'training_steps': 124000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.4679, 'last_loss': np.float64(1.6145), 'approx_perplexity': 4.34}
[17000 sentences | 1 files | 183s] avg_loss=1.4326 stats={'training_steps': 126000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.4322, 'last_loss': np.float64(2.0994), 'approx_perplexity': 4.19}
[18000 sentences | 1 files | 194s] avg_loss=1.5058 stats={'training_steps': 128000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5385, 'last_loss': np.float64(1.4206), 'approx_perplexity': 4.66}
[19000 sentences | 1 files | 205s] avg_loss=1.4985 stats={'training_steps': 130000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5217, 'last_loss': np.float64(1.56), 'approx_perplexity': 4.58}
[20000 sentences | 1 files | 217s] avg_loss=1.5181 stats={'training_steps': 132000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.4615, 'last_loss': np.float64(1.2659), 'approx_perplexity': 4.31}
[21000 sentences | 1 files | 228s] avg_loss=1.5002 stats={'training_steps': 134000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.4709, 'last_loss': np.float64(1.6121), 'approx_perplexity': 4.35}
[22000 sentences | 1 files | 239s] avg_loss=1.5009 stats={'training_steps': 136000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.4442, 'last_loss': np.float64(1.3538), 'approx_perplexity': 4.24}
[23000 sentences | 1 files | 249s] avg_loss=1.5458 stats={'training_steps': 138000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5609, 'last_loss': np.float64(1.878), 'approx_perplexity': 4.76}
[24000 sentences | 1 files | 259s] avg_loss=1.4939 stats={'training_steps': 140000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.4972, 'last_loss': np.float64(1.7888), 'approx_perplexity': 4.47}
[25000 sentences | 1 files | 270s] avg_loss=1.4484 stats={'training_steps': 142000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5655, 'last_loss': np.float64(2.2724), 'approx_perplexity': 4.78}
[26000 sentences | 1 files | 282s] avg_loss=1.5916 stats={'training_steps': 144000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.6447, 'last_loss': np.float64(0.9295), 'approx_perplexity': 5.18}
[27000 sentences | 1 files | 293s] avg_loss=1.5695 stats={'training_steps': 146000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.6268, 'last_loss': np.float64(1.847), 'approx_perplexity': 5.09}
[28000 sentences | 1 files | 304s] avg_loss=1.5632 stats={'training_steps': 148000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.567, 'last_loss': np.float64(1.5753), 'approx_perplexity': 4.79}
[29000 sentences | 1 files | 317s] avg_loss=1.5259 stats={'training_steps': 150000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5212, 'last_loss': np.float64(1.6754), 'approx_perplexity': 4.58}
[30000 sentences | 1 files | 328s] avg_loss=1.4297 stats={'training_steps': 152000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5803, 'last_loss': np.float64(1.7182), 'approx_perplexity': 4.86}
[31000 sentences | 1 files | 338s] avg_loss=1.5376 stats={'training_steps': 154000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.6066, 'last_loss': np.float64(2.1936), 'approx_perplexity': 4.99}
[32000 sentences | 1 files | 347s] avg_loss=1.5502 stats={'training_steps': 156000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5751, 'last_loss': np.float64(1.8287), 'approx_perplexity': 4.83}
[33000 sentences | 1 files | 357s] avg_loss=1.5041 stats={'training_steps': 158000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.4833, 'last_loss': np.float64(1.1222), 'approx_perplexity': 4.41}
[34000 sentences | 1 files | 365s] avg_loss=1.4834 stats={'training_steps': 160000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5544, 'last_loss': np.float64(1.4651), 'approx_perplexity': 4.73}
[35000 sentences | 1 files | 376s] avg_loss=1.5857 stats={'training_steps': 162000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.6131, 'last_loss': np.float64(1.4592), 'approx_perplexity': 5.02}
[36000 sentences | 1 files | 387s] avg_loss=1.6412 stats={'training_steps': 164000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.6577, 'last_loss': np.float64(1.2198), 'approx_perplexity': 5.25}
[37000 sentences | 1 files | 398s] avg_loss=1.6661 stats={'training_steps': 166000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.7435, 'last_loss': np.float64(2.0734), 'approx_perplexity': 5.72}
[38000 sentences | 1 files | 411s] avg_loss=1.6195 stats={'training_steps': 168000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5015, 'last_loss': np.float64(1.745), 'approx_perplexity': 4.49}
[39000 sentences | 1 files | 423s] avg_loss=1.5295 stats={'training_steps': 170000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.4926, 'last_loss': np.float64(1.6627), 'approx_perplexity': 4.45}
[40000 sentences | 1 files | 433s] avg_loss=1.5049 stats={'training_steps': 172000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5082, 'last_loss': np.float64(1.3718), 'approx_perplexity': 4.52}
[41000 sentences | 1 files | 443s] avg_loss=1.5373 stats={'training_steps': 174000, 'replay_buffer_size': 5000, 'avg_recent_loss': 1.5771, 'last_loss': np.float64(0.7899), 'approx_perplexity': 4.84}
